hedge_ratio,total_cost,mean_cost,planning_err_sd,cost_sd,worst_overrun,cvar95,months_over_budget
0.0,10302605.37,76885.11470149254,1816.317961118109,3994.3888386950566,16916.597999999998,85671.38828571427,75
0.05,10302719.88459646,76885.96928803327,1725.5020630622046,3974.3987958048156,16719.53386576906,85619.89948616557,75
0.1,10302834.39919292,76886.82387457402,1634.6861650062988,3956.3779716986414,16522.469731538135,85568.41068661687,75
0.15,10302948.91378938,76887.67846111477,1543.870266950394,3940.353384562619,16325.405597307195,85527.64488471726,73
0.2,10303063.428385843,76888.53304765554,1453.0543688944872,3926.349476163615,16128.341463076256,85502.08298914682,74
0.25,10303177.942982301,76889.38763419628,1362.2384708385835,3914.387933783627,15931.277328845317,85476.52109357638,74
0.3,10303292.457578762,76890.24222073703,1271.4225727826765,3904.4875280599617,15734.213194614364,85450.95919800593,74
0.35,10303406.972175222,76891.09680727778,1180.6066747267728,3896.6639694545233,15537.149060383439,85425.39730243551,74
0.4,10303521.486771684,76891.95139381854,1089.7907766708663,3890.9297858428044,15479.39531580235,85407.99673094277,73
0.45,10303636.001368146,76892.8059803593,998.974878614961,3887.294223404856,15619.075105277632,85406.9896794535,73
0.5,10303750.515964601,76893.66056690001,908.1589805590564,3885.7631726237687,15758.7548947529,85405.9826279642,74
0.55,10303865.030561065,76894.51515344079,817.3430825031508,3886.339120762095,15898.43468422821,85404.9755764749,74
0.6,10303979.545157526,76895.36973998153,726.5271844472431,3889.021131706153,16038.114473703507,85403.96852498561,74
0.65,10304094.059753988,76896.2243265223,635.7112863913378,3893.804853558081,16177.794263178788,85402.96147349631,75
0.7,10304208.57435045,76897.07891306306,544.8953883354333,3900.68255383238,16317.474052654085,85401.95442200704,75
0.75,10304323.088946909,76897.9334996038,454.07949027952696,3909.643181595539,16457.15384212938,85400.94737051774,75
0.8,10304437.603543371,76898.78808614456,363.26359222362225,3920.6724553914287,16596.833631604663,85399.94031902844,76
0.85,10304552.11813983,76899.6426726853,272.4476941677171,3933.75297533767,16736.513421079973,85400.67723455839,76
0.9,10304666.63273629,76900.49725922605,181.63179611180925,3948.8643573735553,16876.193210555255,85423.89534079291,75
0.95,10304781.14733275,76901.3518457668,90.8158980559059,3965.9833872996624,17015.873000030537,85476.1444459342,77
1.0,10304895.66192921,76902.20643230755,0.0,3985.0841919817585,17155.552789505848,85533.74063481795,76
