payment_date,decision_date,year,days,usd_amount,spot_decision,spot_payment,forward_rate,budget_rate,garch_vol,h_garch
2015-07-31,2015-06-30,2015,31,18000.0,3.787,3.8185,3.798127507256097,3.511,,0.5
2015-08-28,2015-07-31,2015,28,18000.0,3.8185,4.217,3.828486839465755,3.511,,0.5
2015-09-30,2015-08-28,2015,33,18000.0,4.217,4.448,4.22969476655485,3.511,,0.5
2015-10-30,2015-09-30,2015,30,18000.0,4.448,4.3065,4.461235559405442,3.511,,0.5
2015-11-30,2015-10-30,2015,31,18000.0,4.3065,4.264,4.319776376172226,3.511,,0.5
2015-12-31,2015-11-30,2015,31,18000.0,4.264,4.294,4.276125882158626,3.511,,0.5
2016-01-29,2015-12-31,2016,29,18000.0,4.294,4.15,4.305284725309404,4.326,,0.5
2016-02-29,2016-01-29,2016,31,18000.0,4.15,4.222,4.161583748308711,4.326,4.386048397865733,0.5
2016-03-31,2016-02-29,2016,31,18000.0,4.222,3.927,4.233425607065171,4.326,3.6022714595273913,0.5
2016-04-29,2016-03-31,2016,29,18000.0,3.927,3.909,3.937037409027745,4.326,3.721873474891465,0.5
2016-05-31,2016-04-29,2016,32,18000.0,3.909,4.122,3.9200945083244174,4.326,3.170733707307978,0.5
2016-06-30,2016-05-31,2016,30,18000.0,4.122,4.025,4.132690796625554,4.326,3.1224298147547866,0.5
2016-07-29,2016-06-30,2016,29,18000.0,4.025,4.057,4.035383293674957,4.326,3.602640528710791,0.5
2016-08-30,2016-07-29,2016,32,18000.0,4.057,4.051,4.067588743061385,4.326,3.1501159898123183,0.5
2016-09-30,2016-08-30,2016,31,18000.0,4.051,4.148,4.060999103141858,4.326,2.9225032853585096,0.5
2016-10-31,2016-09-30,2016,31,18000.0,4.148,4.206,4.158346509677029,4.326,3.089406484939701,0.5
2016-11-30,2016-10-31,2016,30,18000.0,4.206,4.468,4.216775538463751,4.326,2.614930925803766,0.5
2016-12-30,2016-11-30,2016,30,18000.0,4.468,4.4875,4.47829719717699,4.326,2.5187437293223525,0.5
2017-01-31,2016-12-30,2017,32,18000.0,4.4875,4.432,4.498448866850161,4.495,1.488438871612497,0.5
2017-02-28,2017-01-31,2017,28,18000.0,4.432,4.447,4.441730838805587,4.495,1.0923943905989402,0.5
2017-03-31,2017-02-28,2017,31,18000.0,4.447,4.429,4.4574758170654984,4.495,0.603926371267133,0.5
2017-04-28,2017-03-31,2017,28,18000.0,4.429,4.349,4.437217028146105,4.495,0.6929762467278441,0.5
2017-05-31,2017-04-28,2017,33,18000.0,4.349,4.278,4.358866558608755,4.495,1.2743496079494472,0.5
2017-06-30,2017-05-31,2017,30,18000.0,4.278,4.2955,4.285969699316865,4.495,1.4105323870823596,0.5
2017-07-31,2017-06-30,2017,31,18000.0,4.2955,4.2805,4.303989321208602,4.495,1.1523514495444034,0.5
2017-08-30,2017-07-31,2017,30,18000.0,4.2805,4.271,4.288045304553793,4.495,0.6900490667163541,0.5
2017-09-29,2017-08-30,2017,30,18000.0,4.271,4.229,4.279407674034336,4.495,0.682437711097572,0.5
2017-10-31,2017-09-29,2017,32,18000.0,4.229,4.232,4.238027712126562,4.495,1.3248796254669724,0.5
2017-11-30,2017-10-31,2017,30,18000.0,4.232,4.0885,4.240293937120302,4.495,0.8412627318360009,0.5
2017-12-29,2017-11-30,2017,29,18000.0,4.0885,4.064,4.095751820457998,4.495,1.4308283457282485,0.5
2018-01-30,2017-12-29,2018,32,18000.0,4.064,3.896,4.070807090325818,4.034,1.3205265451511912,0.5
2018-02-28,2018-01-30,2018,29,18000.0,3.896,3.9275,3.9018421964775425,4.034,1.9399469250940158,0.5
2018-03-30,2018-02-28,2018,30,18000.0,3.9275,3.864,3.9336240098399187,4.034,1.611703330449312,0.5
2018-04-30,2018-03-30,2018,31,18000.0,3.864,3.921,3.8698917458624744,4.034,1.6678285434419915,0.5
2018-05-31,2018-04-30,2018,31,18000.0,3.921,3.979,3.9269786582626196,4.034,0.9712000922412755,0.5
2018-06-29,2018-05-31,2018,29,18000.0,3.979,4.04,3.9842594703626903,4.034,1.2110546978810686,0.5
2018-07-31,2018-06-29,2018,32,18000.0,4.04,4.063,4.045750217413003,4.034,0.9344238197673091,0.5
2018-08-30,2018-07-31,2018,30,18000.0,4.063,4.11,4.06797945325152,4.034,1.08383138525777,0.5
2018-09-28,2018-08-30,2018,29,18000.0,4.11,4.143,4.114770614412453,4.034,0.9268820104655326,0.5
2018-10-31,2018-09-28,2018,33,18000.0,4.143,4.184,4.147826381710464,4.034,0.8870070538073715,0.5
2018-11-30,2018-10-31,2018,30,18000.0,4.184,4.19,4.188153597497108,4.034,0.654462121362235,0.5
2018-12-31,2018-11-30,2018,31,18000.0,4.19,4.141,4.193972463893932,4.034,0.7577996760862883,0.5
2019-01-31,2018-12-31,2019,31,18000.0,4.141,4.091,4.1445682561974655,4.141,1.3170987819159246,0.5
2019-02-28,2019-01-31,2019,28,18000.0,4.091,4.072,4.0941229312229925,4.141,1.4485493607383255,0.5
2019-03-29,2019-02-28,2019,29,18000.0,4.072,4.083,4.0752182813683495,4.141,1.1997037960899262,0.5
2019-04-30,2019-03-29,2019,32,18000.0,4.083,4.1375,4.086524896940406,4.141,1.0323101062260436,0.5
2019-05-31,2019-04-30,2019,31,18000.0,4.1375,4.199,4.140961070066319,4.141,1.0961871902316052,0.5
2019-06-28,2019-05-31,2019,28,18000.0,4.199,4.1435,4.201597754026134,4.141,0.7448324638770828,0.5
2019-07-31,2019-06-28,2019,33,18000.0,4.1435,4.13,4.1472398822848,4.141,1.0866563294830718,0.5
2019-08-30,2019-07-31,2019,30,18000.0,4.13,4.224,4.133906746834052,4.141,0.8274894696833534,0.5
2019-09-30,2019-08-30,2019,31,18000.0,4.224,4.189,4.227836808904484,4.141,1.2068688010606636,0.5
2019-10-31,2019-09-30,2019,31,18000.0,4.189,4.179,4.193560412465294,4.141,1.3684291254174994,0.5
2019-11-29,2019-10-31,2019,29,18000.0,4.179,4.173,4.184200803638496,4.141,0.8945880721957175,0.5
2019-12-31,2019-11-29,2019,32,18000.0,4.173,4.094,4.178508958115453,4.141,1.018670303929878,0.5
2020-01-31,2019-12-31,2020,31,18000.0,4.094,4.09,4.099799026478107,4.088,1.3290134940855352,0.5
2020-02-28,2020-01-31,2020,28,18000.0,4.09,4.229,4.094352071719586,4.088,1.2070299681777457,0.5
2020-03-31,2020-02-28,2020,32,18000.0,4.229,4.31,4.234517849639892,4.088,1.614804185459749,0.5
2020-04-30,2020-03-31,2020,30,18000.0,4.31,4.33,4.319208135984508,4.088,5.711951121806782,1.0
2020-05-29,2020-04-30,2020,29,18000.0,4.33,4.351,4.338732814255412,4.088,2.539593021742966,1.0
